Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2020-12;65473;VILLELONGUE;RSA seul;0;0
2020-12;65479;VISKER;RSA seul;0;0
2020-12;65482;CANTAOUS;RSA seul;5;5
2020-12;66001;L'ALBERE;RSA seul;5;5
2020-12;66002;ALENYA;RSA seul;65;115
2020-12;66003;AMELIE LES BAINS PALALDA;RSA seul;200;305
2020-12;66006;ANSIGNAN;RSA seul;5;10
2020-12;66008;ARGELES SUR MER;RSA seul;365;615
2020-12;66011;BAGES;RSA seul;125;250
2020-12;66014;BAIXAS;RSA seul;65;130
2020-12;66016;BANYULS SUR MER;RSA seul;110;180
2020-12;66017;LE BARCARES;RSA seul;220;360
2020-12;66024;LE BOULOU;RSA seul;175;310
2020-12;66027;LA CABANASSE;RSA seul;15;45
2020-12;66028;CABESTANY;RSA seul;235;500
2020-12;66038;CANOHES;RSA seul;95;185
2020-12;66041;CASES DE PENE;RSA seul;20;40
2020-12;66045;CATLLAR;RSA seul;10;20
2020-12;66048;CERBERE;RSA seul;40;75
2020-12;66050;CLAIRA;RSA seul;95;180
2020-12;66052;CODALET;RSA seul;5;10
2020-12;66055;CORBERE;RSA seul;5;5
2020-12;66056;CORBERE LES CABANES;RSA seul;15;30
2020-12;66060;CORSAVY;RSA seul;10;10
2020-12;66062;DORRES;RSA seul;5;5
2020-12;66063;LES CLUSES;RSA seul;5;10
2020-12;66065;ELNE;RSA seul;315;625
2020-12;66066;ENVEITG;RSA seul;15;25
2020-12;66081;FONTRABIOUSE;RSA seul;0;0
2020-12;66084;FOURQUES;RSA seul;15;20
2020-12;66091;LAMANERE;RSA seul;0;0
2020-12;66092;LANSAC;RSA seul;5;10
2020-12;66094;LATOUR BAS ELNE;RSA seul;50;90
2020-12;66095;LATOUR DE CAROL;RSA seul;5;15
2020-12;66097;LESQUERDE;RSA seul;5;5
2020-12;66101;LLUPIA;RSA seul;30;60
2020-12;66108;MILLAS;RSA seul;230;575
2020-12;66109;MOLITG LES BAINS;RSA seul;10;15
2020-12;66112;MONTAURIOL;RSA seul;5;5
2020-12;66117;MONT LOUIS;RSA seul;5;5
2020-12;66118;MONTNER;RSA seul;10;25
2020-12;66120;NAHUJA;RSA seul;0;0
2020-12;66125;OLETTE;RSA seul;15;25
2020-12;66127;OPOUL PERILLOS;RSA seul;20;40
2020-12;66145;PONTEILLA;RSA seul;40;90
2020-12;66148;PORT VENDRES;RSA seul;125;225
2020-12;66149;PRADES;RSA seul;285;520
2020-12;66150;PRATS DE MOLLO LA PRESTE;RSA seul;25;40
2020-12;66151;PRATS DE SOURNIA;RSA seul;0;0
2020-12;66152;PRUGNANES;RSA seul;5;5
2020-12;66154;PUYVALADOR;RSA seul;5;5
2020-12;66155;PY;RSA seul;5;10
2020-12;66158;RASIGUERES;RSA seul;0;0
2020-12;66161;RIA SIRACH;RSA seul;50;105
2020-12;66164;RIVESALTES;RSA seul;340;690
2020-12;66168;SAINT ANDRE;RSA seul;60;105
2020-12;66169;SAINT ARNAC;RSA seul;5;10
2020-12;66172;SAINT ESTEVE;RSA seul;220;400
2020-12;66173;SAINT FELIU D AMONT;RSA seul;10;20
2020-12;66174;SAINT FELIU D AVALL;RSA seul;60;130
2020-12;66175;SAINT GENIS DES FONTAINES;RSA seul;50;80
2020-12;69156;POMMIERS;RSA seul;5;5
2020-12;69159;PORTE DES PIERRES DOREES;RSA seul;15;20
2020-12;69182;SAINT BONNET DES BRUYERES;RSA seul;0;0
2020-12;69190;SAINTE CONSORCE;RSA seul;10;15
2020-12;69207;SAINT GERMAIN AU MONT D OR;RSA seul;45;100
2020-12;69220;SAINT LAURENT DE CHAMOUSSET;RSA seul;10;25
2020-12;69231;SAINT PIERRE LA PALUD;RSA seul;20;35
2020-12;69234;SAINT ROMAIN DE POPEY;RSA seul;10;35
2020-12;69235;SAINT ROMAIN EN GAL;RSA seul;20;40
2020-12;69236;SAINT ROMAIN EN GIER;RSA seul;5;5
2020-12;69238;SAINT SYMPHORIEN SUR COISE;RSA seul;40;85
2020-12;69240;SAINT VINCENT DE REINS;RSA seul;5;10
2020-12;69242;TAPONAS;RSA seul;10;15
2020-12;69244;TASSIN LA DEMI LUNE;RSA seul;260;560
2020-12;69248;THIZY LES BOURGS;RSA seul;105;235
2020-12;69253;TUPIN ET SEMONS;RSA seul;0;0
2020-12;69257;VAUX EN BEAUJOLAIS;RSA seul;5;5
2020-12;69263;VILLECHENEVE;RSA seul;5;10
2020-12;69265;VILLE SUR JARNIOUX;RSA seul;0;0
2020-12;69266;VILLEURBANNE;RSA seul;5230;10475
2020-12;69270;CHAPONNAY;RSA seul;20;35
2020-12;69276;FEYZIN;RSA seul;320;710
2020-12;69282;MEYZIEU;RSA seul;570;1225
2020-12;69283;MIONS;RSA seul;185;440
2020-12;69284;MONTANAY;RSA seul;10;20
2020-12;69293;SATHONAY VILLAGE;RSA seul;10;15
2020-12;69294;SEREZIN DU RHONE;RSA seul;15;25
2020-12;69296;SOLAIZE;RSA seul;10;20
2020-12;69298;TOUSSIEU;RSA seul;15;35
2020-12;69299;COLOMBIER SAUGNIEU;RSA seul;20;35
2020-12;69382;LYON 2E ARRONDISSEMENT;RSA seul;580;965
2020-12;69386;LYON 6E ARRONDISSEMENT;RSA seul;800;1200
2020-12;69389;LYON 9E ARRONDISSEMENT;RSA seul;1635;3495
2020-12;70002;ABONCOURT GESINCOURT;RSA seul;0;0
2020-12;70006;AILLEVILLERS ET LYAUMONT;RSA seul;25;50
2020-12;70009;AISEY ET RICHECOURT;RSA seul;0;0
2020-12;70012;AMANCE;RSA seul;5;5
2020-12;70015;AMONCOURT;RSA seul;5;10
2020-12;70016;AMONT ET EFFRENEY;RSA seul;0;0
2020-12;70020;ANDELARROT;RSA seul;0;0
2020-12;70031;ATHESANS ETROITEFONTAINE;RSA seul;5;15
2020-12;70039;AUTOREILLE;RSA seul;0;0
2020-12;70041;AUTREY LES GRAY;RSA seul;0;0
2020-12;70046;LES AYNANS;RSA seul;0;0
2020-12;70060;BEAUMOTTE LES PIN;RSA seul;0;0
2020-12;70064;BELVERNE;RSA seul;5;5
2020-12;70066;BETAUCOURT;RSA seul;0;0
2020-12;70070;BETONCOURT SUR MANCE;RSA seul;0;0
2020-12;70075;BONBOILLON;RSA seul;0;0
2020-12;70079;BOUGNON;RSA seul;0;0
2020-12;70081;BOUHANS LES LURE;RSA seul;0;0
2020-12;70083;BOULIGNEY;RSA seul;5;10
2020-12;70085;BOULT;RSA seul;0;0
2020-12;70092;BRESILLEY;RSA seul;5;5
2020-12;70096;BREVILLIERS;RSA seul;5;10
2020-12;70099;BROTTE LES RAY;RSA seul;0;0
2020-12;70100;BROYE LES LOUPS ET VERFONTAINE;RSA seul;0;0
2020-12;70109;BUTHIERS;RSA seul;0;0
