"EC_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"OBS_STATUS_FR";"TIME_PERIOD";"OBS_VALUE"
"LVB";"M";"11";"DEP";"D";2022-03;247
"LVB";"M";"18";"DEP";"D";2024-08;198
"LVB";"M";"F";"FRANCE";"D";2021-11;63232
"LVB";"M";"83";"DEP";"D";2021-11;936
"LVB";"M";"93";"DEP";"D";2023-08;2166
"LVB";"M";"01";"DEP";"D";2024-07;530
"LVB";"M";"41";"DEP";"D";2021-04;263
"LVB";"M";"2B";"DEP";"D";2022-08;105
"LVB";"M";"19";"DEP";"D";2024-12;131
"LVB";"M";"72";"DEP";"D";2021-04;432
"LVB_CUMR";"A";"16";"DEP";"PROV";2025;194
"LVB";"M";"12";"DEP";"PROV";2025-01;153
"LVB";"M";"F";"FRANCE";"D";2022-06;61596
"LVB";"M";"94";"DEP";"D";2023-08;1495
"LVB";"M";"80";"DEP";"D";2024-09;439
"LVB";"M";"37";"DEP";"PROV";2025-02;427
"LVB";"M";"68";"DEP";"PROV";2025-10;545
"LVB";"M";"06";"DEP";"PROV";2025-07;891
"LVB_CUMR";"A";"19";"DEP";"D";2024;165
"LVB";"M";"974";"DEP";"PROV";2025-01;997
"LVB";"M";"2A";"DEP";"PROV";2025-03;93
"LVB";"M";"24";"DEP";"D";2022-07;253
"LVB";"A";"94";"DEP";"D";2021;19280
"LVB";"M";"14";"DEP";"D";2024-10;509
"LVB";"M";"08";"DEP";"PROV";2025-04;144
"LVB_CUMR";"A";"42";"DEP";"D";2018;686
"LVB";"A";"01";"DEP";"D";2020;6806
"LVB_CUMR";"A";"99";"OTHER";"D";2017;174
"LVB";"M";"84";"DEP";"D";2023-07;458
"LVB_CUMR";"A";"69";"DEP";"D";2016;2168
"LVB";"A";"976";"DEP";"D";2020;9184
"LVB";"A";"08";"DEP";"D";2016;2747
"LVB";"M";"93";"DEP";"D";2024-09;2087
"LVB";"A";"16";"DEP";"D";2023;2833
"LVB";"M";"28";"DEP";"D";2023-10;376
"LVB";"M";"22";"DEP";"D";2024-01;371
"LVB";"M";"40";"DEP";"D";2023-04;240
"LVB";"M";"04";"DEP";"D";2021-10;133
"LVB";"M";"99";"OTHER";"D";2023-01;108
"LVB";"M";"91";"DEP";"PROV";2025-04;1340
"LVB";"M";"67";"DEP";"D";2021-11;942
"LVB";"M";"82";"DEP";"D";2024-12;175
"LVB";"M";"68";"DEP";"D";2021-04;606
"LVB";"A";"18";"DEP";"D";2020;2601
"LVB";"M";"2A";"DEP";"D";2021-02;85
"LVB";"M";"08";"DEP";"D";2021-06;229
"LVB";"A";"24";"DEP";"D";2021;3073
"LVB_CUMR";"A";"36";"DEP";"D";2024;132
"LVB";"M";"83";"DEP";"D";2024-07;814
"LVB";"M";"92";"DEP";"D";2023-05;1661
"LVB_CUMR";"A";"976";"DEP";"D";2020;654
"LVB";"M";"04";"DEP";"D";2024-11;98
"LVB";"M";"71";"DEP";"D";2023-01;379
"LVB";"M";"13";"DEP";"D";2023-05;1841
"LVB";"M";"18";"DEP";"D";2021-11;221
"LVB_CUMR";"A";"23";"DEP";"D";2018;62
