Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2024-12;21520;REMILLY EN MONTAGNE;RSA seul;0;0
2024-12;21521;REMILLY SUR TILLE;RSA seul;5;10
2024-12;21524;RIEL LES EAUX;RSA seul;0;0
2024-12;21528;LA ROCHE VANNEAU;RSA seul;0;0
2024-12;21535;RUFFEY LES ECHIREY;RSA seul;5;5
2024-12;21536;SACQUENAY;RSA seul;5;5
2024-12;21545;SAINTE COLOMBE SUR SEINE;RSA seul;10;20
2024-12;21554;SAINT JEAN DE LOSNE;RSA seul;30;50
2024-12;21556;SAINT LEGER TRIEY;RSA seul;0;0
2024-12;21557;SAINT MARC SUR SEINE;RSA seul;5;5
2024-12;21558;SAINTE MARIE LA BLANCHE;RSA seul;0;0
2024-12;21561;SAINT MARTIN DU MONT;RSA seul;0;0
2024-12;21564;SAINT NICOLAS LES CITEAUX;RSA seul;0;0
2024-12;21573;SAINT SEINE L ABBAYE;RSA seul;5;5
2024-12;21575;SAINT SYMPHORIEN SUR SAONE;RSA seul;0;0
2024-12;21578;SAINT VICTOR SUR OUCHE;RSA seul;0;0
2024-12;21579;SALIVES;RSA seul;0;0
2024-12;21581;SAMEREY;RSA seul;0;0
2024-12;21582;SANTENAY;RSA seul;0;0
2024-12;21592;SAVIGNY SOUS MALAIN;RSA seul;0;0
2024-12;21600;SEMAREY;RSA seul;0;0
2024-12;21601;SEMEZANGES;RSA seul;0;0
2024-12;21604;SENAILLY;RSA seul;0;0
2024-12;21605;SENNECEY LES DIJON;RSA seul;15;20
2024-12;21609;SOIRANS;RSA seul;0;0
2024-12;21617;TALANT;RSA seul;265;585
2024-12;21618;TALMAY;RSA seul;0;0
2024-12;21619;TANAY;RSA seul;0;0
2024-12;21623;TART;RSA seul;5;5
2024-12;21633;THOREY SOUS CHARNY;RSA seul;0;0
2024-12;21638;TIL CHATEL;RSA seul;0;0
2024-12;21642;TOUTRY;RSA seul;5;5
2024-12;21646;TROUHAUT;RSA seul;0;0
2024-12;21660;VEILLY;RSA seul;0;0
2024-12;21667;VERONNES;RSA seul;5;10
2024-12;21677;VIC DES PRES;RSA seul;0;0
2024-12;21680;VIELVERGE;RSA seul;0;0
2024-12;21682;VIEVIGNE;RSA seul;0;0
2024-12;21684;VIGNOLES;RSA seul;0;0
2024-12;21690;VILLEBERNY;RSA seul;0;0
2024-12;21698;VILLERS LA FAYE;RSA seul;0;0
2024-12;21706;VILLOTTE SUR OURCE;RSA seul;0;0
2024-12;21710;VITTEAUX;RSA seul;10;20
2024-12;21714;VOSNE ROMANEE;RSA seul;0;0
2024-12;22002;ANDEL;RSA seul;5;10
2024-12;22013;BOURBRIAC;RSA seul;30;50
2024-12;22015;BREHAND;RSA seul;5;10
2024-12;22024;CALANHEL;RSA seul;10;20
2024-12;22028;CAMLEZ;RSA seul;5;5
2024-12;22034;CAVAN;RSA seul;5;10
2024-12;22035;LES CHAMPS GERAUX;RSA seul;10;20
2024-12;22041;COATASCORN;RSA seul;5;5
2024-12;22046;LE MENE;RSA seul;55;110
2024-12;22050;DINAN;RSA seul;405;660
2024-12;22054;ERQUY;RSA seul;30;50
2024-12;22055;BINIC ETABLES SUR MER;RSA seul;65;95
2024-12;22056;EVRAN;RSA seul;20;30
2024-12;22059;LE FOEIL;RSA seul;5;10
2024-12;22065;GOUDELIN;RSA seul;15;25
2024-12;22069;GUENROC;RSA seul;5;5
2024-12;22077;HENANSAL;RSA seul;10;15
2024-12;22090;KERMARIA SULARD;RSA seul;5;10
2024-12;22097;LA LANDEC;RSA seul;5;10
2024-12;22098;LANDEHEN;RSA seul;5;15
